Name;Street;Zipcode;City;Country;Phonenumber;Website;Email;Segment;Subsegment
3D ACTIVATION GmbH;Hagenauer Str. 42;65203;Wiesbaden;Germany;+49 611 510 491 40;www.3d-activation.de;service@3d-activation.de;Industrial and Services;Service Bureau
PRO3D GMBH & CO. KG;Schwanenstraße 5;88214;Ravensburg;Germany;+49 751 3553 8083;www.pro3d.website;info@pro3d.org;Industrial and Services;Service Bureau
eb-TEC;Quadtweg 10;51545;Waldbröl;Germany;+49 2291 8087 006;www.eb-tec.de;e.braun@eb-tec.de;Industrial and Services;Service Bureau
Sculpteo SAS;10 Rue Auguste Perret;94800;Villejuif;Germany;+49 3222 1745010;www.sculpteo.com;contact@sculpteo.com;Industrial and Services;Service Bureau
3D-Labs GmbH;Leopoldstr. 1;78112;St. Georgen;Germany;+49 7724 9164 170;www.ed-labs.de;schreiner@3d-labs.de;Industrial and Services;Service Bureau
ZeitDruck;Kölner Straße 22;58332;Schwelm;Germany;+49 157 8241 7130;www.zeitdruck3d.de;drucktg@gmail.com;Industrial and Services;Service Bureau
DavoScan GmbH;Hauptstraße 100;8304;Schönheide;Germany;+49 377 5567 4297;www.davoscan.de;d.oelschlaegel@davoscan.de;Industrial and Services;Service Bureau
Raprotec GmbH & Co. KG;Tenter Weg 10;42897;Remscheid;Germany;+49 2191 997 525;www.raprotec.de;info@raprotec.de;Industrial and Services;Service Bureau
Hasenauer & Hesser GmbH;Bahnhofstraße 56;75443;Ötisheim;Germany;+49 7041 815 053 28;www.hasenauer-hesser.de;kleinfeld.a@hasenauer-hesser.de;Industrial and Services;Service Bureau
ALL.RAPID 3D-Druck und Design;Unterer Markt 46;87643;Obergünzburg;Germany;+49 837 2516 9165;www.allrapid.de;info@allrapid.de;Industrial and Services;Service Bureau
3D Fabrik Oliver Wesch;Am Stangenberg 11;69239;Neckarsteinach;Germany;+49 6229 618769;www.3d-fabrik.eu;info@3d-fabrik.eu;Industrial and Services;Service Bureau
3D für Alle;Wengertstraße 5;71292;Friolzheim;Germany;+49 179 3731176;www.3dfueralle.net;info@3dfüralle.de;Industrial and Services;Service Bureau
3D-Picture.net;Bäckerstraße 6;21244;Buchholz;Germany;+49 4181 92 89 101;www.3d-picture.net;dbielert@3D-Picture.net;Industrial and Services;Service Bureau
TinkerToys GmbH;Breitscheidstr. 51;39114;Magdeburg;Germany;+49 341 58 140 671;www.3ddrucken24.de;info@3ddrucken24.de;Industrial and Services;Service Bureau
ADDFACTORY;Alexander-Pachmann-Str.4b;85716;Unterschleissheim;Germany;+49 892 0197 791;www.addfactory.de;info@addfactory.de;Industrial and Services;Service Bureau
ArcTron 3D Vermessungstechnik & Softwareentwicklungs GmbH;Ringstraße 8;93177;Altenthann;Germany;+49 9408 85010;www.arctron.de;info@arctron.de;Industrial and Services;Service Bureau
B3D World GmbH;Plauener Str. 163-165;13053;Berlin;Germany;+49 30 98 31 79 70;www.b3d-world.com;Mail@b3d-world.com;Industrial and Services;Service Bureau
Cuber;Hochstraße 4-6;92693;Eslarn;Germany;+49 9653 929423;www.cuber3d.de;mail@cuber3d.de;Industrial and Services;Service Bureau
DICK & DICK Laserschneid- und Systemtechnik GmbH;Plautstraße 20;4179;Leipzig;Germany;+49 341 337 55 355;www.dick-dick.de;prototyping@dick-dick.de;Industrial and Services;Service Bureau
Traxer GmbH;Lindberghstr. 18;80939;München;Germany;+49 160 1536 392;www.traxer.de;bernd.hackemann@traxer.de;Industrial and Services;Service Bureau
3DDE;Lessingstraße 2 1/4;89231;Neu-Ulm;Germany;+49 176 8949 3879;www.3dde.de;info@3dde.de;Industrial and Services;Service Bureau
canto Ing. GmbH;Kalver Straße 23;58515;Lüdenscheid;Germany;+49 2351 67257;www.prototypen.de;info@canto-web.de;Industrial and Services;Service Bureau
Kunststoff-Institut Lüdenscheid GmbH;Karolinenstraße 8;58507;Lüdenscheid;Germany;+49 2351 1064 176;www.kunststoff-institut-luedenscheid.de;hins@kunststoff-institut.de;Industrial and Services;Service Bureau
3D Druck Jonas Künzel;Am Handwerkerhof 4;51379;Leverkusen;Germany;+49 2171 366 979 4;www.3djk.de;info@3Djk.de;Industrial and Services;Service Bureau
3D-Metall Theobald e.K.;Karl-Heine Strasse 99;4229;Leipzig;Germany;+49 341 491 2175;www.3d-metall-theobald.de;info@3d-metall-theobald.de;Industrial and Services;Service Bureau
Krannich;Wipperfürther Straße 201;51515;Kürten;Germany;+49 2207 9749 924;www.3rei.de;print@3rei.de;Industrial and Services;Service Bureau
fabb.one;Ölstr. 2;50825;Köln;Germany;;www.fabb.one;mail@fabb.one;Industrial and Services;Service Bureau
3D Prod;Sossmarer Tor 11A;31249;Hohenhameln;Germany;+49 5128 400697;www.3dprod.com;christof.reinhardt@3dprod.com;Industrial and Services;Service Bureau
Holocreators UG;Lilienstraße 11 - Lilienhof;20095;Hamburg;Germany;+49 17639088327;www.holocreators.com;support@holocreators.com;Industrial and Services;Service Bureau
myprintoo;Museumstrasse 31;22765;Hamburg;Germany;+49 408750 9431;www.myprintoo.de;sale@myprintoo.de;Industrial and Services;Service Bureau
Makerlounge 3D-Studio;Grauhöfer Landwehr 3;38644;Goslar;Germany;+49 5321 3883 833;www.makerlounge.com;info@makerlounge.com;Industrial and Services;Service Bureau
Kolbers3D;Nordmarktstraße 7;25348;Glückstadt;Germany;+49 1523 3816 187;www.kolbers.de;info@kolbers.de;Industrial and Services;Service Bureau
3Dfabtory;Steinhof 10;40699;Düsseldorf;Germany;+49 211 209 3810;www.fabtory.de;info@fabtory.de;Industrial and Services;Service Bureau
XTRUDR UG;Helmuth-Bächle-Strasse 31/1;72135;Dettenhausen;Germany;+49 7157 531 156;www.xtrudr.de;info@xtrudr.de;Industrial and Services;Service Bureau
PICCOs 3D World GmbH;Güterstraße 2;94469;Deggendorf;Germany;+49 991 3721 3977;www.piccogruppe.de;jo.schmidt@piccogruppe.de;Industrial and Services;Service Bureau
CRDREI GmbH;Schleißheimer Str. 79;85221;Dachau;Germany;+49 8131 6146 949;www.crdrei.de;buero@crdrei.de;Industrial and Services;Service Bureau
Materialise GmbH;Mary-Somerville-Str. 3;28359;Bremen;Germany;+49 421 944 074 30;www.materialise.com;claudia.schallenberg@materialise.com;Industrial and Services;Service Bureau
FORMFAB;Gottesweg 56-62;50969;Köln;Germany;+49 221 630 600 360;www.formfab.de;info@formfab.de;Industrial and Services;Service Bureau
DREIGEIST GbR;Nordostpark 89;90411;Nürnberg;Germany;+49 911 8 911 911 0;www.dreigeist.com;info@dreigeist.com;Industrial and Services;Service Bureau
Erduman und Güclü GbR;Kronprinzenstraße 65;75177;Pforzheim;Germany;+49 7231 6040447;www.eg3d.de;info@eg3d.de;Industrial and Services;Service Bureau
alphacam GmbH;Erlenwiesen 16;73614;Schorndorf;Germany;+49 7181 92 22 0;www.alphacam.de;info@alphacam.de;Industrial and Services;Service Bureau
facts42morrow GmbH;Dammweg 6;1097;Dresden;Germany;+49 176 579492 78;www.facts42morrow.com;info@facts42morrow.com;Industrial and Services;Service Bureau
FKM Sintertechnik GmbH;Zum Musbach 6;35216;Biedenkopf;Germany;+49 64 61 75 85 2 0;www.fkm-lasersintering.de;info@fkm-lasersintering.de;Industrial and Services;Service Bureau
Heinz-Engineering;Nachtigallstr. 31;84130;Dingolfing;Germany;+49 17699505871;www.heinz-engineering.com;info@heinz-engineering.com;Industrial and Services;Service Bureau
Keller Modellbau;Im Riegel 2;73450;Neresheim;Germany;+49 0 73 26 5200;www.keller-modellbau.de;info@keller-modellbau.de;Industrial and Services;Service Bureau
KerCon GmbH & Co. KG;Higis-Ring 20;54578;Wiesbaum  ;Germany;+49 65 93 99 64 34 4;www.kercon.eu;info@kercon.eu;Industrial and Services;Service Bureau
LIGHTWAY GmbH & Co. KG;Im Schülert 3b;56651;Niederzissen;Germany;+49 2636 964980;www.lightway-3d.de;info@lightway-3d.de;Industrial and Services;Service Bureau
Manhillen Drucktechnik GmbH;Schillerstraße 90;71277;Rutesheim;Germany;+49 7152 999180;www.man-druckt.de;info@man-druckt.de;Industrial and Services;Service Bureau
marhellabs;Im Unholder Weg 9;71696;Möglingen;Germany;+49 7141 9732004;www.marhellabs.com;info@marhellabs.com;Industrial and Services;Service Bureau
MFD - Kunststofftech GmbH;Hagener Str. 10a;31535;Neustadt;Germany;+49 5034 7404-703;www.mfd-gmbh.de;info@mfd-gmbh.de;Industrial and Services;Service Bureau
Gesellschaft für Mikrotechnologie mbH;Bismarckstraße 142b;47057;Duisburg;Germany;+49 203 306 2050;www.microTEC-d.com;info@microTEC-d.com;Industrial and Services;Service Bureau
MM Printed Composites GmbH;Gewerbestr. 19;8115;Lichtentanne;Germany;+49  375 541255;www.printed-composites.com;info@printed-composites.com;Industrial and Services;Service Bureau
Modellbau Kurz GmbH & Co.KG;Ringstraße 139;70839;Gerlingen;Germany;+49  71 52 92 88 00;www.kurzmodellbau.de;vertrieb@KurzModellbau.de;Industrial and Services;Service Bureau
MS-Creare GbR;Johann-Riedel-Str. 27;97424;Schweinfurt;Germany;+49 171 600 2315;www.ms-creare.com;info@ms-creare.com;Industrial and Services;Service Bureau
Bauer & Praus GbR ;Gundelfinger Str. 43;10318;Berlin;Germany;+49 30 34 660 331;www.objectplot.de;info@objectplot.de;Industrial and Services;Service Bureau
ProTec3D Alexander Reizner;Sillersdorferstr.24;83395;Freilassing;Germany;+49 8654 478 226;www.protec3d.de;reizner.a@protec3d.de;Industrial and Services;Service Bureau
Rapid 3D Service;Auf der Lake 8;57439;Attendorn;Germany;+49 2722 6589760;www.rapid3dservice.de;info@rapid3dservice.de;Industrial and Services;Service Bureau
Rapidobject GmbH;Weißenfelser Straße 84;4229;Leipzig;Germany;+49 341 23 18 37 30 ;www.rapidobject.com;info@rapidobject.com;Industrial and Services;Service Bureau
Matthias Riesen Riesen Consulting;Freundorf 20;94569;Stephansposching;Germany;+49 9931 891193;www.riesen-consulting.de;info@riesen-consulting.de;Industrial and Services;Service Bureau
Rosswag GmbH;August-Roßwag-Str. 1;76327;Pfinztal;Germany;+49 7240 94100;www.rosswag-engineering.de;info@rosswag-engineering.de;Industrial and Services;Engineering & Product Design
Sneex - Print it!;Obere Stautenbergstraße 16;57290;Neunkirchen;Germany;+49 151 54847686;www.sneex-print-it.de;info@sneex-print-it.de;Industrial and Services;Service Bureau
Solling-CAD;Sollingstr. 12;37194;Bodenfelde;Germany;+49 5572 5899991;www.solling-cad.de;info@solling-cad.de;Industrial and Services;Service Bureau
Speedpart GmbH;Bahnhofstr. 18;97907;Hasloch/Main;Germany;+49 9342 91870 ;www.speedpart.de;box@speedpart.de;Industrial and Services;Service Bureau
Steinbach AG;Westerfeldstraße 13;32758;Detmold;Germany;+49 5231 9607 0;www.steinbach-ag.de;info@steinbach-ag.de;Industrial and Services;IM
Steinbeis-Beratungszentrum IMAPS Institut für Materialanwendungen und 3D-Druck-Lösungen;Willy-Andreas-Allee 19;76131;Karlsruhe;Germany;+49 721 132095;www.steinbeis-imaps.de;tony.tran-mai@stw.de;Industrial and Services;Service Bureau
t-c-w trade center wagner gmbh;Galgenbergweg 4;77933;Lahr;Germany;+49 7821 908776;www.3d-prototyp24.de;3d-prototyp24@t-c-w.de;Industrial and Services;Service Bureau
topmodellfabrik GmbH;Föhrenstr. 25;78532;Tuttlingen;Germany;+49 7461 15094 40;www.topmodellfabrik.de;info@topmodellfabrik.de;Industrial and Services;Service Bureau
A-Form (Annaberg Formenbau AG);Gewerbegebiet Nord 7;9456;Mildenau;Germany;+49 3733 55090;www.a-form.de;info@a-form.de;Industrial and Services;Service Bureau
Bartz & Schalk OHG;Düsingstraße 58;58644;Iserlohn;Germany;+49 23 71 7 85 04 50;www.bartz-schalk.de;konstruktion@bartz-schalk.de;Industrial and Services;Service Bureau
Bayerisches Laserzentrum GmbH;Konrad-Zuse-Straße 2-6;91052;Erlangen;Germany;+49 9131 977900;www.blz.org;info@blz.org;Industrial and Services;Service Bureau
BECKER CAD-CAM-CAST;Brückenstraße 19;35239;Steffenberg-Quotshausen;Germany;+49 6465 91430;www.beckerccc.com;office@beckerccc.com;Industrial and Services;Service Bureau
Bertrandt Prototypen GmbH;Birkensee 1 ;71139;Ehningen;Germany;+ 49 7034 656-0;www.bertrandt.com;info@bertrandt.com;Industrial and Services;Service Bureau
Breuckmann GmbH;Dieselstraße 26-28;88709;Meersburg;Germany;+49 2056 58010;www.breuckmann.de;info@breuckmann.de;Industrial and Services;Service Bureau
Bubeck-Modellbau GmbH & Co. KG;Motorstraße 56;70499;Stuttgart-Weilimdorf;Germany;+49 711 1357900;;;Industrial and Services;Service Bureau
CAVITÄT GmbH;Gänsewinkel 6;37412;Hörden / Harz;Germany;+49 55 21 99 700;www.cavitaet.de;contact@cavitaet.de;Industrial and Services;Service Bureau
EDAG Engineering+Design AG;Reesbergstraße 1;36039;Fulda;Germany; +49 661 60000;www.edag.de;info@edag.de;Industrial and Services;Engineering & Product Design
ES InnoCast GmbH & Co. KG;Haus Gravener Str. 191;40764;Langenfeld;Germany;+49 2173 1013990;www.innocast.de;info@innocast.de;Industrial and Services;Service Bureau
3D-High-Tec Poschmann GmbH;Gewerbering 40;58579;Schalksmühle;Germany;+49 2355 50500;www.3dhightec.de;3DHT@formpool.com;Industrial and Services;Service Bureau
Fruth Innovative Technologien GmbH (FIT);Eichenbühl 10;92331;Lupburg;Germany;+49 9492 94290;www.fit.technology;info@pro-fit.de;Industrial and Services;Service Bureau
