Column1, Rank,Company,Country,Sales,Assets,Market Value,Sector,Industry,Snippet,
0,1,ICBC,China,151.4,34732,229.8,Financials,Major Banks,"Die Industrial and Commercial Bank of China Limited gilt als die gr_xDE3F__xDD25_ Bank in der Volksrepublik ChiNeuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtDie Industrial and Commercial Bank of China Limited gilt als die gr_xDE3F__xDD25_ Bank in der Volksrepublik China und fhrt regelm䟩g auch globale Rankings an. Auf Basis der gewichteten Methode der Forbes Global 2000-Auswertung stand sie beispielsweise im Jahr 2019 auf Platz 1 der gr_xDE3F__xDD25_n b_xDE8B__xDCE5_nnotierten Unternehmen der Welt. Die gesamte Marktkapitalisierung der Bank belief sich Anfang 2019 auf 305 Mrd. US-Dollar, womit sie zu den wertvollsten weltweit geh_xDE8B__xDD2E_ Mit rund 4 Bio. US-Dollar ist die Bank die gr_xDE3F__xDD25_ der Welt nach Bilanzsumme.",
1,2,China Construction Bank,China,134.2,30166,200.5,Financials,Regional Banks,Die China Construction Bank ist eine der vier groߥn Gesch䦴sbanken der Volksrepublik China. Seit November 2015 geh_xDE8B__xDD20_sie nach Einsch䴺ung des Finanzstabilit䴳rates zu den global systemrelevanten Banken. Die Bilanzsumme der Bank betrug 201Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtDie China Construction Bank ist eine der vier groߥn Gesch䦴sbanken der Volksrepublik China. Seit November 2015 geh_xDE8B__xDD20_sie nach Einsch䴺ung des Finanzstabilit䴳rates zu den global systemrelevanten Banken. Die Bilanzsumme der Bank betrug 2019 3.822 Milliarden US-Dollar.,
2,3,Berkshire Hathaway,United States,222.9,6209,409.9,Financials,Investment Services,05.06.2020 BERKSHIRE HATHAWAY AKTIE und aktueller Aktienkurs. Nachrichten zur Aktie Berkshire Hathaway Inc. B | A0YJQ2 | BRK.B | US0846707026,
3,4,JPMorgan Chase,United States,102.5,2513,306.6,Financials,Major Banks,Die JPMorgan Chase & Co. ist eine US-amerikanische Bank mit Sitz in New York City. Mit einer Bilanzsumme von ber 2.600 Mrd. US-Dollar ist sie die gr_xDE3F__xDD25_ Bank der USA und laut Forbes das weltweit drittgr_xDE3F__xDD25_ an einer B_xDE8B__xDCE5_ notierte Unternehmen.,
4,5,Wells Fargo,United States,97.6,19434,274.4,Financials,Major Banks,"https://www.wellsfargo.comWells Fargo does not endorse and is not responsible for their content, links, privacy, or security policies. Investment products and services are offered through Wells Fargo Advisors. Wells Fargo Advisors is a trade name used by Wells Fargo Clearing Services, LLC (WFCS) and Wells Fargo Advisors Financial Network, LLC, Members SIPC , separate registered broker-dealers and non-bank affiliates of ...",
5,6,Agricultural Bank of China,China,115.7,2816,149.2,Financials,Regional Banks,https://www.finanzen.net/aktien/agricultural_bank_of_china_(a)-aktie10.06.2021 AGRICULTURAL BANK OF CHINA (A) AKTIE und aktueller Aktienkurs. Nachrichten zur Aktie Agricultural Bank of China (A) | A1C2NS | CNE100000RJ0,
6,7,Bank of America,United States,92.2,21968,231.9,Financials,Major Banks,"https://www.bankofamerica.comBank of America Private Bank is a division of Bank of America, N.A., Member FDIC and a wholly owned subsidiary of Bank of America Corporation. Trust and fiduciary services are provided by Bank of America, N.A. and U.S. Trust Company of Delaware. Both are indirect subsidiaries of Bank of America Corporation. Insurance Products are offered through Merrill Lynch Life Agency Inc. (MLLA) and/or ...",
7,8,Bank of China,China,113.1,26115,141.3,Financials,Major Banks,"https://www.bankofchina.com/de/deBank of China, Frankfurt Branch Bockenheimer Landstr. 24, 60323 Frankfurt. Karriere: ܢer Uns [Karriere ] Relationship Manager (Munich Branch,Sept.2020) [Karriere ] Operator in Clearing Abteilung (Frankfurt Branch,Sept.2020) [Karriere ] Customer Service (Munich Branch,Sept.2020) [Karriere ] Credit Analyst for Due Diligence Team (Frankfurt, Sept. 2... Mehr > Berichte : Mehr ...",
8,9,Apple,United States,217.5,3311,752,Information Technology,Computer Hardware,"Entdecke die innovative Welt vonApple. Kaufe iPhone, iPad,AppleWatch, Mac undAppleTV und finde Zubeh_xDE8A__xDF20_Entertainment und Ger䴥support.",
9,10,Toyota Motor,Japan,249.9,4125,171.9,Consumer Discretionary,Auto & Truck Manufacturers,Willkommen auf der offiziellen Seite vonToyotaDeutschland. Informiere dich jetzt ber aktuelle Fahrzeugmodelle und buche eine Probefahrt.,
10,11,AT&T,United States,163.8,4038,249.3,Telecommunication Services,Telecommunications services,AT&T Mobility ist seit der ܢernahme von AT&T Wireless durch den Konkurrenten Cingular mit ca. 77 Millionen Kunden einer der gr_xDE3F__xDD25_n Mobilfunkkonzerne in den Vereinigten Staaten,
11,12,Citigroup,United States,84,17951,164.3,Financials,Major Banks,"CitiFirst ist das Optionsschein- und Zertifikateportal der Citigroup in Deutschland. Sie finden hier alle Informationen zu Optionsscheinen, Turbos, Mini Futures mit hohen Hebeln sowie zu Discount-Zertifikaten, Bonus-Zertifikaten, Capped Bonus-Zertifikaten, Reverse Bonus-Zertifikaten, Kapitalschutz und vieles andere mehr. Anleger und Trader finden ebenfalls Chartanalysen, News, ausfhrliche ...",
12,13,Exxon Mobil,United States,197.5,3303,343.2,Energy,,"https://corporate.exxonmobil.deExxonMobil und Porsche haben eine neue Vereinbarung zu Entwicklung und Einsatz von erneuerbaren Kraftstoffen im Porsche Mobil 1 Supercup getroffen. Im Rahmen des Marken-Pokals fahren alle neuen 911 GT3 Cup-Rennwagen ab der Saison 2021 zun䣨st mit einem von ExxonMobil zusammengestellten, haupts䣨lich biobasierten Esso Renewable Racing Fuel. Mehr erfahren. Neu erschienen: Energy & ",
13,14,General Electric,United States,119.7,3652,261.2,Industrials,Conglomerates,Die US-amerikanische General Electric ist einer der gr_xDE3F__xDD25_n Mischkonzerne der Welt. Er geht auf die Firmengrndung des Elektro-Pioniers Thomas Edison zurck. Der Stammsitz befindet sich seit 2016 in Boston. Das Unternehmen war ber 80 Jahre in Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefgtDie US-amerikanische General Electric ist einer der gr_xDE3F__xDD25_n Mischkonzerne der Welt. Er geht auf die Firmengrndung des Elektro-Pioniers Thomas Edison zurck. Der Stammsitz befindet sich seit 2016 in Boston. Das Unternehmen war ber 80 Jahre in Schenectady im US-Bundesstaat New York und anschlieߥnd ab 1974 in Fairfield beheimatet.,
14,15,Samsung Electronics,South Korea,174,2171,254.3,Information Technology,Semiconductors,"https://www.samsung.com/deAusgenommen hiervon ist die Aktion Samsung Made for Germany fr ausgew䨬te Samsung QLED Aktions-TVs (Details, Umfang sowie Aktionsger䴥 unter samsung.de/madeforgermany). Aktion im Einzelnen, Liste der Aktionsger䴥 inkl. aller Zugaben sowie vollst䮤ige Teilnahmebedingun- gen unter samsung.de/heimvorteil-angebote. Ausrichter: Samsung Electronics GmbH, Am Kronberger Hang ",
15,16,Ping An Insurance Group,China,106.6,801,100.8,Financials,Diversified Insurance,"Ping An Insurance ist ein chinesisches Versicherungs- und Finanzdienstleistungsunternehmen mit Sitz in Shenzhen. Die volle Firma des Unternehmens ist Ping An Insurance Company of China, Ltd.",
16,17,Wal-Mart Stores,United States,485.3,1988,221.1,Consumer Discretionary,Discount Stores,"www.walmart.deHier sollte eine Beschreibung angezeigt werden, diese Seite l䳳t dies jedoch nicht zu.Weitere Informationen",
17,18,Verizon Communications,United States,126,2442,198.4,Telecommunication Services,Telecommunications services,"Die Verizon Communications Inc., oder kurz Verizon, ist ein US-amerikanischer Telekommunikationskonzern mit Hauptsitz in New York City. Die deutsche Niederlassung Verizon Deutschland GmbH hat ihren Sitz in Dortmund.",
18,19,Microsoft,United States,85.3,2246,507.5,Information Technology,Software & Programming,https://www.microsoft.com/de-deAt Microsoft our mission and values are to help people and businesses throughout the world realize their full potential.,
19,20,Royal Dutch Shell,Netherlands,234.8,4113,228.8,Energy,Oil & Gas Operations,18.06.2020 SHELL (ROYAL DUTCH SHELL) (A) AKTIE und aktueller Aktienkurs. Nachrichten zur Aktie Shell (Royal Dutch Shell) (A) | A0D94M | RYDAF | GB00B03MLX29,
